Sample,Phase Block N50 (bp),Long Switch Error Rate,Short Switch Error Rate,Fraction Correct in Phase Block,Fraction Correct in Gene
NA12878,9424660,1.54E-05,0.00026,0.986363357,0.999275316
NA12878,6539869,1.97E-05,0.00016,0.976197105,0.999894917
